Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Cooler,51.0,2.0
AC,25.9479208,64.8530197,0.1,27.35,90.0,53.0,No Change,50.0,1.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,No Change,50.0,16.0
NV,28.3461914,73.937405,0.54,29.3,92.0,55.0,No Change,59.0,19.0
AC,25.6627033,72.98564999999999,0.03,26.55,91.0,58.04668938,Cooler,59.0,2.0
AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,53.0,4.0
NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Cooler,53.0,17.0
AC,25.534716600000003,76.0189478,0.07,26.55,92.0,56.0,No Change,32.0,2.0
NV,27.5804081,79.19251285,0.26,28.5,91.0,61.0,Cooler,32.0,18.0
NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,No Change,37.0,17.0
AC,25.4655695,71.05427775,0.07,26.15,89.0,62.60895939,No Change,37.0,2.0
AC,28.02454665,70.03412209999999,0.45,29.3,90.0,59.0,Cooler,40.0,4.0
NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Cooler,40.0,17.0
AC,25.3183527,74.67086705,1.1,25.8,91.0,58.0,No Change,46.0,4.0
NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Cooler,46.0,18.0
AC,25.5124197,67.26019755,0.08,26.7,89.0,61.0,Cooler,8.0,2.0
NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,Cooler,8.0,18.0
NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,No Change,12.0,19.0
AC,24.845932,71.195115,0.08,26.45,89.0,60.0,No Change,12.0,2.0
AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,Cooler,18.0,4.0
NV,29.32160185,75.236575,0.71,30.1,91.0,59.0,No Change,18.0,18.0
NV,27.86561895,78.600585,0.4,28.8,88.0,65.0,No Change,2.0,18.0
AC,25.55345915,75.55536205,0.08,27.15,83.0,73.0,No Change,2.0,2.0
AC,25.25968695,65.64346795,0.03,26.0,90.0,61.07691803,Cooler,30.0,2.0
NV,28.1482096,74.46728745,0.25,29.05,90.0,57.86501955,Cooler,30.0,17.0
AC,24.94427,68.71313,0.06,25.85,89.0,61.0,Cooler,9.0,1.0
NV,27.74478435,80.34176,0.23,28.700000000000003,87.0,67.0,Cooler,9.0,17.0
AC,24.62115765,61.1168556,0.08,25.75,83.0,73.0,Cooler,5.0,2.0
NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,Cooler,5.0,18.0
AC,25.66527555,75.88525,0.09,27.2,83.0,73.0,Cooler,1.0,2.0
NV,27.966715800000003,78.61557795,0.7,28.85,88.0,65.0,No Change,1.0,18.0
AC,24.69044305,69.27887,0.04,25.7,91.0,56.47476051,No Change,31.0,1.0
NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,31.0,16.0
AC,24.6038218,63.8849528,0.3,25.25,90.0,62.0,No Change,23.0,4.0
NV,25.49842095,71.5555226,0.32,26.5,89.0,62.0,No Change,23.0,18.0
AC,24.87424925,66.87863,0.02,25.55,90.0,64.0,Warmer,47.0,2.0
NV,27.16748335,71.1531128,0.09,27.35,93.0,50.71493106,Warmer,47.0,16.0
AC,25.22068785,63.52592,0.35,26.1,83.0,73.0,No Change,6.0,4.0
NV,27.86561895,78.600585,0.4,28.8,88.0,65.0,Cooler,6.0,18.0
NV,28.3676427,74.870995,0.14,29.2,91.0,58.0,Cooler,29.0,17.0
AC,24.9865618,62.1965561,0.08,25.85,89.0,62.0,No Change,29.0,3.0
AC,24.87424925,66.87863,0.02,25.55,90.0,64.0,Cooler,45.0,2.0
NV,27.16748335,71.1531128,0.09,27.35,93.0,50.71493106,Cooler,45.0,16.0
NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,No Change,33.0,16.0
AC,25.38844585,76.03240285,0.62,25.95,94.0,52.0,No Change,33.0,4.0
AC,25.6627033,72.98564999999999,0.03,26.55,91.0,58.04668938,Cooler,58.0,2.0
NV,28.3860197,74.00213,0.85,29.3,92.0,55.0,Cooler,58.0,19.0
AC,25.8299016,73.15745,0.11,26.450000000000003,90.0,60.94619786,No Change,57.0,3.0
NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,57.0,19.0
NV,27.6698885,80.306255,0.83,28.75,88.0,63.28844468,Cooler,7.0,18.0
AC,27.36964795,81.37462500000001,0.38,28.35,88.0,63.0,Cooler,7.0,4.0
NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,24.0,19.0
AC,24.60210785,71.29817785,0.03,25.35,87.0,65.0,Cooler,24.0,1.0
NV,28.799171450000003,76.13997735,1.62,29.65,91.0,59.0,No Change,17.0,19.0
AC,26.07436085,60.6611691,0.09,26.95,90.0,56.0,Cooler,17.0,2.0
AC,25.338814,70.02283,1.07,25.75,91.0,59.70249316,Warmer,43.0,4.0
NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,43.0,17.0
NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,No Change,36.0,16.0
AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,No Change,36.0,2.0
AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,Cooler,14.0,4.0
NV,28.8109045,76.120485,0.88,29.65,91.0,58.16351379,No Change,14.0,19.0
AC,25.5805779,71.40130694999999,0.13,26.1,89.0,63.0,No Change,42.0,2.0
NV,29.28249265,75.3105,0.56,30.1,91.0,58.0,Cooler,42.0,19.0
