Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability
AC,23.3,38.0,0.22,23.554458333299998,12.96,84.235,Acceptable
AC,23.3,38.0,0.22,23.554458333299998,12.96,84.235,Acceptable
AC,23.5,36.0,0.1,23.389033333333344,12.96,84.235,Acceptable
AC,23.5,36.0,0.1,23.389033333333344,12.96,84.235,Acceptable
AC,23.5,36.0,0.1,23.389033333333344,12.96,84.235,Acceptable
AC,23.6,36.0,0.26,23.24012499999999,12.96,84.235,Acceptable
AC,20.5,41.0,0.18,20.61649166666668,12.96,84.235,Unacceptable
AC,20.5,41.0,0.18,20.61649166666668,12.96,84.235,Unacceptable
AC,21.3,39.0,0.19,21.537666666666663,12.96,84.235,Acceptable
AC,23.41,49.55,0.155333333,23.47,15.1,77.0,Acceptable
AC,21.73,54.05,0.102,21.863333333333333,15.1,77.0,Unacceptable
AC,21.21,55.7,0.067,21.266666666666666,15.1,77.0,Acceptable
AC,21.46,55.62,0.060333333,21.513333333333332,15.1,77.0,Acceptable
AC,22.23,52.57,0.106,22.28,15.1,77.0,Acceptable
AC,21.02666667,55.61,0.094666667,21.176666666666666,15.1,77.0,Acceptable
AC,20.9,56.49,0.088666667,20.993333333333336,15.1,77.0,Acceptable
AC,23.17333333,49.17,0.087333333,23.27,15.1,77.0,Acceptable
AC,23.74666667,48.54,0.155333333,23.74666666666667,15.1,77.0,Acceptable
AC,23.35333333,48.65,0.069333333,23.426666666666666,15.1,77.0,Acceptable
AC,23.66333333,48.14,0.128666667,23.84,15.1,77.0,Acceptable
AC,23.31666667,48.4,0.135,23.396666666666665,15.1,77.0,Acceptable
AC,23.72666667,48.1,0.071666667,23.816666666666666,15.1,77.0,Acceptable
AC,23.81333333,47.67,0.129333333,23.953333333333333,15.1,77.0,Unacceptable
AC,23.66,48.67,0.079666667,23.7,15.1,77.0,Acceptable
AC,23.62666667,49.2,0.095666667,23.593333333333334,15.1,77.0,Unacceptable
