,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
70,AC,25.17013435,72.73873499999999,0.18,26.450000000000003,92.0,56.0,Acceptable,31.0,2.0
71,AC,25.706242,67.161445,0.1,26.15,91.0,57.0,Acceptable,18.0,1.0
72,AC,24.42423815,72.63083,0.04,25.4,87.0,67.0,Acceptable,20.0,1.0
73,AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,Acceptable,6.0,4.0
74,NV,28.21349525,78.7766,0.42,29.2,91.0,58.04164294,Acceptable,20.0,17.0
75,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,Acceptable,32.0,3.0
76,AC,25.05597705,75.97229,0.08,25.9,91.0,58.0,Acceptable,26.0,1.0
77,NV,28.1159983,74.05206305,0.14,28.9,90.0,56.0,Acceptable,28.0,17.0
78,AC,25.824812,64.92693804999999,0.05,26.9,89.0,57.0,Unacceptable,53.0,2.0
79,AC,25.57848805,69.79694,0.22,26.05,89.0,53.0,Acceptable,54.0,3.0
80,NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,Unacceptable,16.0,16.0
81,NV,28.13394355,74.02672999999999,0.06,29.05,90.0,56.0,Unacceptable,29.0,17.0
82,AC,24.42423815,72.63083,0.04,25.4,87.0,67.0,Unacceptable,19.0,1.0
83,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,Acceptable,56.0,16.0
84,AC,25.56912805,74.659505,0.79,26.0,89.0,60.0,Acceptable,42.0,4.0
85,NV,29.0910797,75.31185500000001,0.21,29.95,92.0,56.0,Unacceptable,31.0,19.0
86,AC,25.6408987,66.22472214999999,0.03,26.35,90.0,61.0,Acceptable,27.0,2.0
87,AC,24.6106377,69.597665,0.06,25.95,93.0,53.0,Acceptable,47.0,2.0
88,AC,25.6525,66.83991499999999,0.18,26.0,90.0,63.0,Acceptable,48.0,3.0
89,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,Unacceptable,8.0,17.0
90,NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Acceptable,58.0,18.0
91,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Unacceptable,9.0,16.0
92,AC,25.4869926,73.397505,0.19,25.9,88.0,61.0,Acceptable,40.0,3.0
93,NV,27.6555643,76.597229,0.55,28.5,87.0,67.0,Acceptable,3.0,19.0
94,AC,24.6634434,69.0450629,0.11,25.7,91.0,56.0,Acceptable,33.0,1.0
95,AC,23.89018825,65.62138999999999,0.06,25.25,90.0,62.0,Acceptable,40.0,2.0
96,AC,25.0295553,71.98438999999999,0.05,26.25,92.0,56.0,Acceptable,34.0,1.0
