Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,Cooler,28.0,16.0
AC,26.112540000000003,78.21490299999999,0.26,27.25,83.0,73.0,Warmer,3.0,2.0
AC,24.1710491,60.92527965,0.58,24.65,83.0,73.0,Warmer,3.0,4.0
NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,No Change,2.0,17.0
AC,25.78303335,82.74889,0.78,26.450000000000003,95.0,51.0,No Change,31.0,4.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Cooler,51.0,2.0
AC,25.83666515,69.80744999999999,0.59,26.55,88.0,63.0,Warmer,12.0,4.0
NV,27.86561895,78.600585,0.4,28.8,88.0,65.0,No Change,2.0,18.0
AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,No Change,12.0,1.0
NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Cooler,46.0,18.0
AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,Warmer,11.0,4.0
AC,25.30867095,67.63329775,0.43,25.700000000000003,91.0,56.0,Cooler,25.0,3.0
AC,24.400237,72.452845,0.18,25.4,87.0,66.94115996,Cooler,22.0,1.0
AC,25.62117765,74.029035,0.71,26.25,92.0,55.95948315,Warmer,55.0,4.0
AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,49.0,3.0
AC,25.4721317,69.6084829,0.71,25.9,87.0,64.05265162,No Change,23.0,4.0
AC,25.19874095,68.78459000000001,0.07,25.9,89.69555292,63.0,Warmer,47.0,2.0
NV,29.8222313,70.75213794999999,0.36,30.5,92.0,53.0,Cooler,56.0,17.0
AC,24.19105095,60.3192787,0.71,24.6,83.0,73.0,No Change,6.0,4.0
AC,24.4040594,69.50583705,0.73,25.25,83.0,73.0,No Change,5.0,4.0
NV,27.86561895,78.600585,0.4,28.8,88.0,65.0,Cooler,6.0,18.0
AC,25.7595011,74.50539805,0.33,26.3,90.0,59.9479563,No Change,55.0,3.0
AC,25.066245,64.676905,0.72,25.35,89.0,61.0,No Change,12.0,4.0
AC,24.010643,64.5948023,0.13,24.8,89.0,64.0,No Change,48.0,2.0
NV,28.411007,73.146215,0.23,29.200000000000003,94.0,55.58012383,Cooler,38.0,17.0
NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,No Change,55.0,18.0
NV,29.28249265,75.3105,0.56,30.1,91.0,58.0,Cooler,41.0,19.0
AC,25.25968695,65.64346795,0.03,26.0,90.0,61.07691803,Cooler,30.0,2.0
NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,29.0,19.0
NV,28.37111375,75.04097745,0.08,29.25,91.0,58.0,Cooler,25.0,17.0
AC,25.66656895,69.6928669,0.47,26.05,91.0,56.0,No Change,26.0,4.0
AC,25.0134188,65.78278499999999,0.39,25.55,95.0,53.0,No Change,31.0,4.0
AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,Cooler,8.0,2.0
AC,24.61347865,57.8233537,0.03,25.6,83.0,73.0,No Change,6.0,2.0
AC,25.3045614,76.120945,0.39,26.0,92.0,60.0,No Change,45.0,3.0
AC,25.89085005,64.568505,0.15,26.950000000000003,89.0,55.0,Cooler,49.0,2.0
AC,25.5269273,75.17724000000001,0.05,26.45,90.0,62.94535887,Cooler,56.0,2.0
AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,60.0,1.0
AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,Cooler,53.0,2.0
