"Title Comment",""
"Model","LR8515"
"Serial No.","180345475"
"Identify Name","180345475"
"Recording Interval[s]","+6.000000000E+01"
"Trigger Time","2023/09/28 19:10:22.000"

"Channel","Input Type","Range","Scaling Settings","Scaling Conversion Ratio","Scaling Offset"
"CH1-1","Thermocouple","1000C","OFF","",""

"Time","CH1-1[C]"
"2023/09/28 21:23:22.000","+2.87000E+01"
"2023/09/28 21:24:22.000","+2.87000E+01"
"2023/09/28 21:25:22.000","+2.87000E+01"
"2023/09/28 21:26:22.000","+2.87000E+01"
"2023/09/28 21:27:22.000","+2.87000E+01"
"2023/09/28 21:28:22.000","+2.87000E+01"
"2023/09/28 21:29:22.000","+2.87000E+01"
"2023/09/28 21:30:22.000","+2.87000E+01"
"2023/09/28 21:31:22.000","+2.87000E+01"
"2023/09/28 21:32:22.000","+2.87000E+01"
"2023/09/28 21:33:22.000","+2.87000E+01"
"2023/09/28 21:34:22.000","+2.87000E+01"
"2023/09/28 21:35:22.000","+2.87000E+01"
"2023/09/28 21:36:22.000","+2.87000E+01"
"2023/09/28 21:37:22.000","+2.87000E+01"
"2023/09/28 21:38:22.000","+2.87000E+01"
"2023/09/28 21:39:22.000","+2.87000E+01"
"2023/09/28 21:40:22.000","+2.87000E+01"
"2023/09/28 21:41:22.000","+2.87000E+01"
"2023/09/28 21:42:22.000","+2.87000E+01"
"2023/09/28 21:43:22.000","+2.87000E+01"
"2023/09/28 21:44:22.000","+2.87000E+01"
"2023/09/28 21:45:22.000","+2.87000E+01"
"2023/09/28 21:46:22.000","+2.87000E+01"
"2023/09/28 21:47:22.000","+2.87000E+01"
"2023/09/28 21:48:22.000","+2.87000E+01"
"2023/09/28 21:49:22.000","+2.87000E+01"
"2023/09/28 21:50:22.000","+2.87000E+01"
"2023/09/28 21:51:22.000","+2.87000E+01"
"2023/09/28 21:52:22.000","+2.87000E+01"
"2023/09/28 21:53:22.000","+2.87000E+01"
"2023/09/28 21:54:22.000","+2.87000E+01"
"2023/09/28 21:55:22.000","+2.87000E+01"
"2023/09/28 21:56:22.000","+2.87000E+01"
"2023/09/28 21:57:22.000","+2.87000E+01"
"2023/09/28 21:58:22.000","+2.87000E+01"
"2023/09/28 21:59:22.000","+2.87000E+01"
"2023/09/28 22:00:22.000","+2.87000E+01"
"2023/09/28 22:01:22.000","+2.87000E+01"
"2023/09/28 22:02:22.000","+2.87000E+01"
"2023/09/28 22:03:22.000","+2.87000E+01"
"2023/09/28 22:04:22.000","+2.87000E+01"
"2023/09/28 22:05:22.000","+2.87000E+01"
"2023/09/28 22:06:22.000","+2.87000E+01"
"2023/09/28 22:07:22.000","+2.87000E+01"
"2023/09/28 22:08:22.000","+2.87000E+01"
"2023/09/28 22:09:22.000","+2.87000E+01"
"2023/09/28 22:10:22.000","+2.87000E+01"
"2023/09/28 22:11:22.000","+2.87000E+01"
"2023/09/28 22:12:22.000","+2.87000E+01"
"2023/09/28 22:13:22.000","+2.87000E+01"
"2023/09/28 22:14:22.000","+2.87000E+01"
"2023/09/28 22:15:22.000","+2.88000E+01"
"2023/09/28 22:16:22.000","+2.87000E+01"
"2023/09/28 22:17:22.000","+2.88000E+01"
"2023/09/28 22:18:22.000","+2.87000E+01"
"2023/09/28 22:19:22.000","+2.87000E+01"
"2023/09/28 22:20:22.000","+2.87000E+01"
"2023/09/28 22:21:22.000","+2.87000E+01"
"2023/09/28 22:22:22.000","+2.87000E+01"
"2023/09/28 22:23:22.000","+2.88000E+01"
"2023/09/28 22:24:22.000","+2.87000E+01"
"2023/09/28 22:25:22.000","+2.88000E+01"
"2023/09/28 22:26:22.000","+2.87000E+01"
"2023/09/28 22:27:22.000","+2.87000E+01"
"2023/09/28 22:28:22.000","+2.87000E+01"
"2023/09/28 22:29:22.000","+2.87000E+01"
"2023/09/28 22:30:22.000","+2.88000E+01"
"2023/09/28 22:31:22.000","+2.87000E+01"
"2023/09/28 22:32:22.000","+2.87000E+01"
"2023/09/28 22:33:22.000","+2.87000E+01"
"2023/09/28 22:34:22.000","+2.87000E+01"
"2023/09/28 22:35:22.000","+2.88000E+01"
"2023/09/28 22:36:22.000","+2.87000E+01"
"2023/09/28 22:37:22.000","+2.87000E+01"
"2023/09/28 22:38:22.000","+2.88000E+01"
"2023/09/28 22:39:22.000","+2.87000E+01"
